subcategory,product_type,title,publisher,year,product_code,category
bfrpg,rulebook,Basic Fantasy Role-Playing Game,Chris Gonnerman,2006,,
bfrpg,rulebook,"Basic Fantasy Role-Playing Game, 2nd Edition",Chris Gonnerman,2011,,
bfrpg,rulebook,"Basic Fantasy Role-Playing Game, 3rd Edition",Chris Gonnerman,2014,,
bfrpg,adventure,BF1 Morgansfort: The Western Lands Campaign,Chris Gonnerman,2007,,
bfrpg,adventure,"BF1 Morgansfort: The Western Lands Campaign, 2nd Edition",Chris Gonnerman,2015,,
bfrpg,adventure,"BF2 Fortress, Tomb, and Tower: The Glain Campaign",Chris Gonnerman,2011,,
bfrpg,adventure,"BF2 Fortress, Tomb, and Tower: The Glain Campaign, Revised Cover",Chris Gonnerman,2016,,
bfrpg,adventure,JN1 The Chaotic Caves,Chris Gonnerman,2011,,
bfrpg,adventure,"JN1 The Chaotic Caves, Revised Cover",Chris Gonnerman,2016,,
bfrpg,adventure,JN2 Monkey Isle,Chris Gonnerman,2011,,
bfrpg,adventure,"JN2 Monkey Isle, Revised Cover",Chris Gonnerman,2016,,
bfrpg,adventure,AA1 Adventure Anthology One,Chris Gonnerman,2014,,
